id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
31219,Sansol,2020-11-01,1,27,0.96,97.03,1760.94,0.94
31220,Santacara,2020-11-01,4,60,0.93,225.32,8292.37,0.97
31221,Doneztebe/Santesteban,2020-11-01,0,52,1.00,0.00,5975.67,1.00
31222,Sarriés/Sartze,2020-11-01,0,18,1.00,0.00,924.23,1.00
31223,Sartaguda,2020-11-01,15,79,0.81,516.39,11535.79,0.96
31224,Sesma,2020-11-01,3,66,0.95,106.89,10419.33,0.99
31225,Sorlada,2020-11-01,3,19,0.84,197.16,1903.32,0.90
31226,Sunbilla,2020-11-01,2,40,0.95,20.25,4851.47,1.00
31227,Tafalla,2020-11-01,11,299,0.96,1132.73,36831.59,0.97
31228,Tiebas-Muruarte de Reta,2020-11-01,0,47,1.00,0.00,5467.85,1.00
31229,Tirapu,2020-11-01,0,15,1.00,0.00,1211.64,1.00
31230,Torralba del Río,2020-11-01,4,25,0.84,233.56,2729.26,0.91
31231,Torres del Río,2020-11-01,1,25,0.96,54.61,2227.25,0.98
31232,Tudela,2020-11-01,107,556,0.81,15667.71,87278.62,0.82
31233,Tulebras,2020-11-01,0,12,1.00,0.00,2393.45,1.00
31234,Ucar,2020-11-01,1,27,0.96,69.18,3033.38,0.98
31235,Ujué / Uxue,2020-11-01,8,39,0.79,298.32,4925.25,0.94
31236,Ultzama,2020-11-01,1,120,0.99,117.05,14281.91,0.99
31237,Unciti,2020-11-01,0,54,1.00,0.00,5869.00,1.00
31238,Unzué,2020-11-01,1,17,0.94,44.15,4083.06,0.99
31239,Urdazubi/Urdax,2020-11-01,5,37,0.86,337.95,4339.82,0.92
31240,Urdiain,2020-11-01,0,41,1.00,0.00,3856.44,1.00
31241,Urraul Alto,2020-11-01,0,45,1.00,0.00,4805.58,1.00
31242,Urraul Bajo,2020-11-01,1,73,0.99,25.62,8199.79,1.00
31243,Urroz,2020-11-01,0,42,1.00,0.00,3420.41,1.00
31244,Urrotz,2020-11-01,0,8,1.00,0.00,735.77,1.00
31245,Urzainqui,2020-11-01,0,16,1.00,0.00,1756.03,1.00
31246,Uterga,2020-11-01,0,18,1.00,0.00,2076.04,1.00
31247,Uztárroz/Uztarroze,2020-11-01,0,24,1.00,0.00,1773.17,1.00
31248,Luzaide/Valcarlos,2020-11-01,1,13,0.92,32.09,1340.53,0.98
31249,Valtierra,2020-11-01,6,139,0.96,402.76,15451.72,0.97
31250,Bera,2020-11-01,3,83,0.96,135.15,8742.06,0.98
