id,name,date,incomplete,total,percentage
17188,la Selva de Mar,2021-01-31,0,118,1.00
17189,la Cellera de Ter,2021-01-31,0,574,1.00
17190,Serinyà,2021-01-31,4,524,0.99
17191,Serra de Daró,2021-01-31,0,134,1.00
17192,Setcases,2021-01-31,0,394,1.00
17193,Sils,2021-01-31,17,744,0.98
17194,Susqueda,2021-01-31,0,212,1.00
17195,la Tallada d'Empordà,2021-01-31,0,291,1.00
17196,Terrades,2021-01-31,0,151,1.00
17197,Torrent,2021-01-31,2,151,0.99
17198,Torroella de Fluvià,2021-01-31,2,328,0.99
17199,Torroella de Montgrí,2021-01-31,18,2530,0.99
17200,Tortellà,2021-01-31,2,219,0.99
17201,Toses,2021-01-31,4,410,0.99
17202,Tossa de Mar,2021-01-31,12,1287,0.99
17203,Ultramort,2021-01-31,3,111,0.97
17204,Ullà,2021-01-31,0,170,1.00
17205,Ullastret,2021-01-31,0,146,1.00
17206,Urús,2021-01-31,2,147,0.99
17207,la Vall d'en Bas,2021-01-31,2,1022,1.00
17208,la Vall de Bianya,2021-01-31,1,755,1.00
17209,Vall-llobrega,2021-01-31,0,172,1.00
17210,Ventalló,2021-01-31,0,532,1.00
17211,Verges,2021-01-31,0,124,1.00
17212,Vidrà,2021-01-31,2,275,0.99
17213,Vidreres,2021-01-31,8,1065,0.99
17214,Vilabertran,2021-01-31,0,76,1.00
17215,Vilablareix,2021-01-31,9,309,0.97
17216,Viladasens,2021-01-31,3,199,0.98
17217,Viladamat,2021-01-31,0,221,1.00
17218,Vilademuls,2021-01-31,5,776,0.99
17220,Viladrau,2021-01-31,5,521,0.99
17221,Vilafant,2021-01-31,8,565,0.99
17222,Vilaür,2021-01-31,0,250,1.00
17223,Vilajuïga,2021-01-31,5,338,0.99
17224,Vilallonga de Ter,2021-01-31,0,336,1.00
17225,Vilamacolum,2021-01-31,0,76,1.00
17226,Vilamalla,2021-01-31,0,299,1.00
17227,Vilamaniscle,2021-01-31,0,78,1.00
17228,Vilanant,2021-01-31,0,276,1.00
17230,Vila-sacra,2021-01-31,0,135,1.00
17232,Vilopriu,2021-01-31,0,354,1.00
