id,ES-TE,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
44199,ES-TE,ES-AR,Rubiales,2021-02-13,2,14,0.86,52.34,942.72,0.94
44200,ES-TE,ES-AR,Rubielos de la Cérida,2021-02-13,3,22,0.86,265.65,2350.24,0.89
44201,ES-TE,ES-AR,Rubielos de Mora,2021-02-13,31,85,0.64,3601.37,8770.67,0.59
44203,ES-TE,ES-AR,Salcedillo,2021-02-13,10,17,0.41,549.85,1152.71,0.52
44204,ES-TE,ES-AR,Saldón,2021-02-13,0,9,1.00,0.00,1196.63,1.00
44205,ES-TE,ES-AR,Samper de Calanda,2021-02-13,1,77,0.99,49.82,7465.45,0.99
44206,ES-TE,ES-AR,San Agustín,2021-02-13,6,29,0.79,338.44,2397.92,0.86
44207,ES-TE,ES-AR,San Martín del Río,2021-02-13,5,39,0.87,451.05,3829.96,0.88
44208,ES-TE,ES-AR,Santa Cruz de Nogueras,2021-02-13,13,29,0.55,774.97,2136.97,0.64
44209,ES-TE,ES-AR,Santa Eulalia,2021-02-13,40,102,0.61,3440.86,13732.48,0.75
44210,ES-TE,ES-AR,Sarrión,2021-02-13,33,103,0.68,6342.40,16698.26,0.62
44211,ES-TE,ES-AR,Segura de los Baños,2021-02-13,1,17,0.94,508.05,2345.92,0.78
44212,ES-TE,ES-AR,Seno,2021-02-13,1,12,0.92,37.77,1187.10,0.97
44213,ES-TE,ES-AR,Singra,2021-02-13,6,22,0.73,374.84,2685.26,0.86
44215,ES-TE,ES-AR,Terriente,2021-02-13,11,29,0.62,496.92,2321.90,0.79
44216,ES-TE,ES-AR,Teruel,2021-02-13,104,1163,0.91,10733.97,147963.62,0.93
44217,ES-TE,ES-AR,Toril y Masegoso,2021-02-13,0,11,1.00,0.00,807.61,1.00
44218,ES-TE,ES-AR,Tormón,2021-02-13,2,7,0.71,56.85,1187.69,0.95
44219,ES-TE,ES-AR,Tornos,2021-02-13,27,50,0.46,1302.99,4237.96,0.69
44220,ES-TE,ES-AR,Torralba de los Sisones,2021-02-13,6,27,0.78,484.33,2799.01,0.83
44221,ES-TE,ES-AR,Torrecilla de Alcañiz,2021-02-13,26,26,0.00,4515.39,4515.39,0.00
44222,ES-TE,ES-AR,Torrecilla del Rebollar,2021-02-13,14,27,0.48,2194.93,4222.23,0.48
44223,ES-TE,ES-AR,Torre de Arcas / Torredarques,2021-02-13,0,11,1.00,0.00,1299.02,1.00
44224,ES-TE,ES-AR,Torre de las Arcas,2021-02-13,2,14,0.86,91.47,1310.39,0.93
44225,ES-TE,ES-AR,Torre del Compte / La Torre del Comte,2021-02-13,0,39,1.00,0.00,3068.23,1.00
44226,ES-TE,ES-AR,Torrelacárcel,2021-02-13,10,39,0.74,755.49,6609.86,0.89
44227,ES-TE,ES-AR,Torre los Negros,2021-02-13,3,15,0.80,165.38,1262.21,0.87
44228,ES-TE,ES-AR,Torremocha de Jiloca,2021-02-13,1,22,0.95,109.85,2987.66,0.96
44229,ES-TE,ES-AR,Torres de Albarracín,2021-02-13,6,21,0.71,1016.90,2886.10,0.65
44230,ES-TE,ES-AR,Torrevelilla / Torre de Vilella,2021-02-13,16,16,0.00,2900.40,2900.40,0.00
44231,ES-TE,ES-AR,Torrijas,2021-02-13,7,37,0.81,591.58,2808.45,0.79
44232,ES-TE,ES-AR,Torrijo del Campo,2021-02-13,0,50,1.00,0.00,5281.52,1.00
44234,ES-TE,ES-AR,Tramacastiel,2021-02-13,4,20,0.80,501.08,2165.44,0.77
44235,ES-TE,ES-AR,Tramacastilla,2021-02-13,7,10,0.30,1404.39,1922.40,0.27
44236,ES-TE,ES-AR,Tronchón,2021-02-13,0,15,1.00,0.00,1899.59,1.00
44237,ES-TE,ES-AR,Urrea de Gaén,2021-02-13,16,73,0.78,720.14,4686.08,0.85
44238,ES-TE,ES-AR,Utrillas,2021-02-13,47,143,0.67,3691.59,15821.01,0.77
44239,ES-TE,ES-AR,Valacloche,2021-02-13,0,5,1.00,0.00,746.55,1.00
44240,ES-TE,ES-AR,Valbona,2021-02-13,21,56,0.63,1808.34,5440.33,0.67
44241,ES-TE,ES-AR,Valdealgorfa,2021-02-13,25,25,0.00,4613.13,4613.13,0.00
44243,ES-TE,ES-AR,Valdecuenca,2021-02-13,8,14,0.43,470.89,1260.29,0.63
44244,ES-TE,ES-AR,Valdelinares,2021-02-13,11,30,0.63,727.57,2274.95,0.68
44245,ES-TE,ES-AR,Valdeltormo / La Vall del Tormo,2021-02-13,2,30,0.93,156.53,4150.79,0.96
44246,ES-TE,ES-AR,Valderrobres / Vall de Roures,2021-02-13,24,104,0.77,2423.66,12455.19,0.81
44247,ES-TE,ES-AR,Valjunquera / Valljunquera,2021-02-13,3,34,0.91,629.88,4302.71,0.85
44249,ES-TE,ES-AR,El Vallecillo,2021-02-13,0,12,1.00,0.00,1297.99,1.00
44250,ES-TE,ES-AR,Veguillas de la Sierra,2021-02-13,2,10,0.80,50.93,891.36,0.94
44251,ES-TE,ES-AR,Villafranca del Campo,2021-02-13,16,32,0.50,1801.19,4327.73,0.58
44252,ES-TE,ES-AR,Villahermosa del Campo,2021-02-13,3,32,0.91,115.48,2819.23,0.96
44256,ES-TE,ES-AR,Villanueva del Rebollar de la Sierra,2021-02-13,0,10,1.00,0.00,1506.62,1.00
44257,ES-TE,ES-AR,Villar del Cobo,2021-02-13,14,25,0.44,919.73,2669.69,0.66
44258,ES-TE,ES-AR,Villar del Salz,2021-02-13,3,11,0.73,475.92,1384.69,0.66
44260,ES-TE,ES-AR,Villarluengo,2021-02-13,8,25,0.68,730.20,2671.00,0.73
44261,ES-TE,ES-AR,Villarquemado,2021-02-13,0,66,1.00,0.00,11924.77,1.00
44262,ES-TE,ES-AR,Villarroya de los Pinares,2021-02-13,8,30,0.73,907.47,2894.24,0.69
44263,ES-TE,ES-AR,Villastar,2021-02-13,8,30,0.73,776.30,3271.48,0.76
44264,ES-TE,ES-AR,Villel,2021-02-13,2,14,0.86,96.82,1560.28,0.94
44265,ES-TE,ES-AR,Vinaceite,2021-02-13,11,25,0.56,1141.98,2324.87,0.51
44266,ES-TE,ES-AR,Visiedo,2021-02-13,7,24,0.71,679.35,3307.24,0.79
44267,ES-TE,ES-AR,Vivel del Río Martín,2021-02-13,5,17,0.71,745.76,2582.19,0.71
44268,ES-TE,ES-AR,La Zoma,2021-02-13,5,11,0.55,104.78,559.34,0.81
