id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
18006,Albuñol,2020-01-01,2,360,0.99,91.83,26542.12,1.00
18007,Albuñuelas,2020-01-01,0,126,1.00,0.00,7755.30,1.00
18010,Aldeire,2020-01-01,0,117,1.00,0.00,10560.87,1.00
18011,Alfacar,2020-01-01,1,310,1.00,12.70,35722.70,1.00
18012,Algarinejo,2020-01-01,0,162,1.00,0.00,16539.02,1.00
18013,Alhama de Granada,2020-01-01,1,324,1.00,82.27,33148.60,1.00
18014,Alhendín,2020-01-01,3,459,0.99,207.74,69325.55,1.00
18015,Alicún de Ortega,2020-01-01,0,42,1.00,0.00,4882.98,1.00
18016,Almegíjar,2020-01-01,0,72,1.00,0.00,3429.29,1.00
18017,Almuñécar,2020-01-01,23,977,0.98,1418.34,153336.57,0.99
18018,Alquife,2020-01-01,0,135,1.00,0.00,12025.50,1.00
18020,Arenas del Rey,2020-01-01,0,55,1.00,0.00,6068.43,1.00
18021,Armilla,2020-01-01,11,497,0.98,408.58,63941.08,0.99
18022,Atarfe,2020-01-01,1,916,1.00,20.59,113749.78,1.00
18023,Baza,2020-01-01,7,902,0.99,218.27,108557.03,1.00
18024,Beas de Granada,2020-01-01,0,86,1.00,0.00,9204.55,1.00
18025,Beas de Guadix,2020-01-01,0,51,1.00,0.00,4068.98,1.00
18027,Benalúa,2020-01-01,0,279,1.00,0.00,25186.12,1.00
18028,Benalúa de las Villas,2020-01-01,0,69,1.00,0.00,7495.08,1.00
18029,Benamaurel,2020-01-01,0,223,1.00,0.00,43944.28,1.00
18030,Bérchules,2020-01-01,0,112,1.00,0.00,9070.40,1.00
18032,Bubión,2020-01-01,1,64,0.98,33.23,4454.22,0.99
18033,Busquístar,2020-01-01,1,59,0.98,32.25,3851.72,0.99
18034,Cacín,2020-01-01,0,90,1.00,0.00,8252.89,1.00
18035,Cádiar,2020-01-01,1,174,0.99,34.48,12084.89,1.00
18036,Cájar,2020-01-01,3,171,0.98,151.66,21462.27,0.99
18037,Calicasas,2020-01-01,0,44,1.00,0.00,3447.57,1.00
18038,Campotéjar,2020-01-01,0,76,1.00,0.00,10682.44,1.00
18039,Caniles,2020-01-01,2,336,0.99,219.51,45033.86,1.00
18040,Cáñar,2020-01-01,1,59,0.98,40.68,2801.42,0.99
18042,Capileira,2020-01-01,4,90,0.96,238.68,4818.89,0.95
18043,Carataunas,2020-01-01,0,21,1.00,0.00,2277.98,1.00
18044,Cástaras,2020-01-01,0,49,1.00,0.00,1716.53,1.00
18045,Castilléjar,2020-01-01,0,215,1.00,0.00,32534.54,1.00
18046,Castril,2020-01-01,0,286,1.00,0.00,30873.47,1.00
18047,Cenes de la Vega,2020-01-01,2,138,0.99,53.88,20277.30,1.00
18048,Cijuela,2020-01-01,2,97,0.98,200.45,20783.46,0.99
18049,Cogollos de Guadix,2020-01-01,1,90,0.99,178.61,10425.59,0.98
18050,Cogollos de la Vega,2020-01-01,0,129,1.00,0.00,12091.11,1.00
18051,Colomera,2020-01-01,0,113,1.00,0.00,11258.50,1.00
18053,Cortes de Baza,2020-01-01,2,310,0.99,95.59,40157.17,1.00
18054,Cortes y Graena,2020-01-01,0,135,1.00,0.00,13617.99,1.00
18056,Cúllar,2020-01-01,1,423,1.00,31.01,50942.48,1.00
18057,Cúllar Vega,2020-01-01,0,249,1.00,0.00,38658.18,1.00
18059,Chauchina,2020-01-01,2,234,0.99,266.99,40141.67,0.99
18061,Chimeneas,2020-01-01,0,139,1.00,0.00,15913.09,1.00
18062,Churriana de la Vega,2020-01-01,3,349,0.99,267.71,52560.53,0.99
18063,Darro,2020-01-01,0,167,1.00,0.00,16726.90,1.00
18064,Dehesas de Guadix,2020-01-01,0,55,1.00,0.00,5279.70,1.00
18065,Dehesas Viejas,2020-01-01,0,61,1.00,0.00,6751.88,1.00
18066,Deifontes,2020-01-01,0,138,1.00,0.00,20102.55,1.00
18067,Diezma,2020-01-01,0,93,1.00,0.00,6984.12,1.00
18068,Dílar,2020-01-01,1,175,0.99,25.85,26904.90,1.00
18069,Dólar,2020-01-01,1,114,0.99,15.06,9750.08,1.00
18070,Dúdar,2020-01-01,0,35,1.00,0.00,5242.39,1.00
18071,Dúrcal,2020-01-01,0,423,1.00,0.00,63457.25,1.00
18072,Escúzar,2020-01-01,1,132,0.99,15.34,30600.55,1.00
18074,Ferreira,2020-01-01,0,74,1.00,0.00,6747.00,1.00
18076,Fonelas,2020-01-01,0,84,1.00,0.00,9661.98,1.00
18077,Fornes,2020-01-01,2,52,0.96,51.80,5075.66,0.99
18078,Freila,2020-01-01,0,82,1.00,0.00,9954.80,1.00
18079,Fuente Vaqueros,2020-01-01,2,168,0.99,82.88,27363.82,1.00
18082,Galera,2020-01-01,1,170,0.99,25.63,25568.09,1.00
18083,Gobernador,2020-01-01,0,57,1.00,0.00,3890.15,1.00
18084,Gójar,2020-01-01,0,256,1.00,0.00,46474.76,1.00
18085,Gor,2020-01-01,0,113,1.00,0.00,18938.03,1.00
18086,Gorafe,2020-01-01,0,83,1.00,0.00,8050.55,1.00
18087,Granada,2020-01-01,296,3288,0.91,15118.47,302638.48,0.95
18088,Guadahortuna,2020-01-01,0,97,1.00,0.00,11116.03,1.00
18089,Guadix,2020-01-01,4,927,1.00,163.27,92045.76,1.00
18093,Gualchos,2020-01-01,3,278,0.99,185.99,20618.43,0.99
18094,Güéjar Sierra,2020-01-01,1,189,0.99,24.70,16535.01,1.00
18095,Güevéjar,2020-01-01,0,116,1.00,0.00,12396.48,1.00
18096,Huélago,2020-01-01,4,51,0.92,40.32,5378.73,0.99
18097,Huéneja,2020-01-01,0,168,1.00,0.00,18265.47,1.00
18098,Huéscar,2020-01-01,5,379,0.99,167.83,60999.44,1.00
18099,Huétor de Santillán,2020-01-01,0,157,1.00,0.00,18914.05,1.00
18100,Huétor Tájar,2020-01-01,4,325,0.99,141.54,39771.96,1.00
18101,Huétor Vega,2020-01-01,12,338,0.96,633.53,53232.51,0.99
18102,Íllora,2020-01-01,1,610,1.00,189.66,74865.53,1.00
18103,Ítrabo,2020-01-01,0,111,1.00,0.00,6733.01,1.00
18105,Iznalloz,2020-01-01,0,285,1.00,0.00,29751.12,1.00
18106,Játar,2020-01-01,0,44,1.00,0.00,4711.39,1.00
18107,Jayena,2020-01-01,0,104,1.00,0.00,8908.47,1.00
18108,Jérez del Marquesado,2020-01-01,5,105,0.95,269.04,11806.83,0.98
18109,Jete,2020-01-01,0,58,1.00,0.00,3669.27,1.00
18111,Jun,2020-01-01,0,192,1.00,0.00,23167.35,1.00
18112,Juviles,2020-01-01,0,51,1.00,0.00,2620.23,1.00
18114,La Calahorra,2020-01-01,0,131,1.00,0.00,11308.53,1.00
18115,Láchar,2020-01-01,0,177,1.00,0.00,33648.42,1.00
18116,Lanjarón,2020-01-01,4,156,0.97,59.73,10259.00,0.99
18117,Lanteira,2020-01-01,0,80,1.00,0.00,6409.42,1.00
18119,Lecrín,2020-01-01,1,196,0.99,31.47,15348.03,1.00
18120,Lentegí,2020-01-01,0,60,1.00,0.00,2635.20,1.00
18121,Lobras,2020-01-01,0,38,1.00,0.00,1923.92,1.00
18122,Loja,2020-01-01,7,782,0.99,194.48,92000.29,1.00
18123,Lugros,2020-01-01,0,53,1.00,0.00,3905.29,1.00
18124,Lújar,2020-01-01,0,112,1.00,0.00,8423.15,1.00
18126,La Malahá,2020-01-01,0,129,1.00,0.00,12073.29,1.00
18127,Maracena,2020-01-01,12,420,0.97,1456.50,50365.04,0.97
18128,Marchal,2020-01-01,1,40,0.98,14.57,4570.06,1.00
18132,Moclín,2020-01-01,1,353,1.00,71.55,36624.33,1.00
18133,Molvízar,2020-01-01,0,192,1.00,0.00,11549.98,1.00
18134,Monachil,2020-01-01,1,366,1.00,22.04,48669.19,1.00
18135,Montefrío,2020-01-01,0,191,1.00,0.00,18809.91,1.00
18136,Montejícar,2020-01-01,2,86,0.98,68.00,12447.35,0.99
18137,Montillana,2020-01-01,0,116,1.00,0.00,10746.78,1.00
18138,Moraleda de Zafayona,2020-01-01,4,273,0.99,105.91,44191.46,1.00
18140,Motril,2020-01-01,14,1517,0.99,418.08,189240.79,1.00
18141,Murtas,2020-01-01,0,150,1.00,0.00,11098.92,1.00
18143,Nigüelas,2020-01-01,0,155,1.00,0.00,23025.75,1.00
18144,Nívar,2020-01-01,0,91,1.00,0.00,12473.43,1.00
18145,Ogíjares,2020-01-01,1,499,1.00,5.57,70012.75,1.00
18146,Orce,2020-01-01,3,196,0.98,81.30,28701.75,1.00
