id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
31180,Muruzábal,2020-01-01,0,39,1.00,4967.81,0.00,1.00
31181,Navascués,2020-01-01,14,32,0.56,4130.86,581.78,0.86
31182,Nazar,2020-01-01,0,12,1.00,2044.79,0.00,1.00
31183,Obanos,2020-01-01,7,92,0.92,13494.44,471.08,0.97
31184,Oco,2020-01-01,2,24,0.92,1629.30,21.09,0.99
31185,Ochagavía/Otsagabia,2020-01-01,0,48,1.00,3863.99,0.00,1.00
31186,Odieta,2020-01-01,0,38,1.00,3852.42,0.00,1.00
31187,Oitz,2020-01-01,0,7,1.00,1138.08,0.00,1.00
31188,Olaibar,2020-01-01,0,36,1.00,3889.24,0.00,1.00
31189,Olazti/Olazagutía,2020-01-01,11,50,0.78,6247.68,1192.95,0.81
31190,Olejua,2020-01-01,0,11,1.00,1133.65,0.00,1.00
31191,Olite/Erriberri,2020-01-01,16,165,0.90,22849.68,872.29,0.96
31192,Olóriz,2020-01-01,6,55,0.89,5315.45,406.31,0.92
31193,Olza,2020-01-01,22,154,0.86,16862.53,1551.34,0.91
31194,Valle de Ollo/Ollaran,2020-01-01,2,66,0.97,7615.54,270.53,0.96
31195,Orbaitzeta,2020-01-01,0,35,1.00,3068.35,0.00,1.00
31196,Orbara,2020-01-01,0,14,1.00,1074.80,0.00,1.00
31197,Orísoain,2020-01-01,3,17,0.82,1147.49,130.75,0.89
31198,Oronz,2020-01-01,0,6,1.00,894.04,0.00,1.00
31199,Oroz-Betelu,2020-01-01,1,26,0.96,2918.62,7.66,1.00
31200,Oteiza,2020-01-01,4,47,0.91,6627.83,472.06,0.93
31201,Pamplona/Iruña,2020-01-01,124,1793,0.93,236715.68,12861.47,0.95
31202,Peralta,2020-01-01,34,186,0.82,24968.49,2712.46,0.89
31203,Petilla de Aragón,2020-01-01,0,8,1.00,500.46,0.00,1.00
31204,Piedramillera,2020-01-01,1,16,0.94,1707.48,37.19,0.98
31205,Pitillas,2020-01-01,0,48,1.00,6418.72,0.00,1.00
31206,Puente la Reina/Gares,2020-01-01,2,95,0.98,12784.54,462.52,0.96
31207,Pueyo / Puiu,2020-01-01,0,53,1.00,7295.47,0.00,1.00
31208,Ribaforada,2020-01-01,26,81,0.68,19435.04,4021.08,0.79
31209,Romanzado,2020-01-01,0,30,1.00,4167.90,0.00,1.00
31210,Roncal/Erronkari,2020-01-01,0,18,1.00,1966.47,0.00,1.00
31211,Orreaga/Roncesvalles,2020-01-01,0,3,1.00,133.17,0.00,1.00
31212,Sada,2020-01-01,3,33,0.91,3232.22,313.35,0.90
31213,Saldias,2020-01-01,0,9,1.00,824.62,0.00,1.00
31214,Salinas de Oro,2020-01-01,5,12,0.58,1767.02,297.67,0.83
31215,San Adrián,2020-01-01,8,154,0.95,28895.44,471.52,0.98
31216,Sangüesa/Zangoza,2020-01-01,2,116,0.98,16766.33,1135.33,0.93
31217,San Martín de Unx,2020-01-01,2,41,0.95,6008.19,111.87,0.98
31219,Sansol,2020-01-01,1,27,0.96,1760.94,97.03,0.94
31220,Santacara,2020-01-01,4,60,0.93,8292.37,225.32,0.97
31221,Doneztebe/Santesteban,2020-01-01,5,42,0.88,5427.87,360.67,0.93
31222,Sarriés/Sartze,2020-01-01,1,18,0.94,924.23,99.94,0.89
31223,Sartaguda,2020-01-01,15,79,0.81,11535.79,516.39,0.96
31224,Sesma,2020-01-01,3,64,0.95,10419.33,106.89,0.99
31225,Sorlada,2020-01-01,3,19,0.84,1903.32,197.16,0.90
31226,Sunbilla,2020-01-01,3,39,0.92,4744.46,240.46,0.95
31227,Tafalla,2020-01-01,12,299,0.96,36050.14,1140.37,0.97
31228,Tiebas-Muruarte de Reta,2020-01-01,5,47,0.89,5708.84,380.76,0.93
31229,Tirapu,2020-01-01,1,15,0.93,1211.64,34.33,0.97
31230,Torralba del Río,2020-01-01,4,25,0.84,2729.26,233.56,0.91
31231,Torres del Río,2020-01-01,1,25,0.96,2227.25,54.61,0.98
31232,Tudela,2020-01-01,109,541,0.80,86567.19,16849.39,0.81
31233,Tulebras,2020-01-01,0,12,1.00,2393.45,0.00,1.00
31234,Ucar,2020-01-01,1,27,0.96,3033.38,69.18,0.98
31235,Ujué / Uxue,2020-01-01,8,39,0.79,4925.25,298.32,0.94
31236,Ultzama,2020-01-01,5,117,0.96,14146.14,1095.41,0.92
31237,Unciti,2020-01-01,0,54,1.00,5864.83,0.00,1.00
31238,Unzué,2020-01-01,0,16,1.00,4038.91,0.00,1.00
31239,Urdazubi/Urdax,2020-01-01,7,29,0.76,2799.62,637.96,0.77
31240,Urdiain,2020-01-01,1,42,0.98,4249.94,397.85,0.91
31241,Urraul Alto,2020-01-01,1,45,0.98,4805.58,31.53,0.99
31242,Urraul Bajo,2020-01-01,1,73,0.99,8175.90,25.62,1.00
31243,Urroz,2020-01-01,0,42,1.00,3420.41,0.00,1.00
31244,Urrotz,2020-01-01,0,7,1.00,735.56,0.00,1.00
31245,Urzainqui,2020-01-01,5,16,0.69,1756.03,87.56,0.95
31246,Uterga,2020-01-01,0,17,1.00,2010.30,0.00,1.00
31247,Uztárroz/Uztarroze,2020-01-01,6,23,0.74,1700.56,149.26,0.91
31248,Luzaide/Valcarlos,2020-01-01,4,13,0.69,1255.97,142.53,0.89
31249,Valtierra,2020-01-01,6,139,0.96,15451.72,402.76,0.97
31250,Bera,2020-01-01,8,69,0.88,8670.30,545.42,0.94
31251,Viana,2020-01-01,17,129,0.87,24489.43,6627.76,0.73
31252,Vidángoz/Bidankoze,2020-01-01,0,12,1.00,1703.03,0.00,1.00
31253,Bidaurreta,2020-01-01,1,16,0.94,1629.92,69.49,0.96
31254,Villafranca,2020-01-01,6,101,0.94,14306.83,339.28,0.98
31255,Villamayor de Monjardín,2020-01-01,3,20,0.85,2338.21,398.46,0.83
31256,Hiriberri/Villanueva de Aezkoa,2020-01-01,0,20,1.00,2301.51,0.00,1.00
31257,Villatuerta,2020-01-01,4,99,0.96,16439.72,426.64,0.97
31258,Villava/Atarrabia,2020-01-01,0,110,1.00,12068.67,0.00,1.00
31259,Igantzi,2020-01-01,2,27,0.93,3838.81,187.17,0.95
31260,Valle de Yerri,2020-01-01,10,230,0.96,23020.32,496.94,0.98
31261,Yesa,2020-01-01,2,31,0.94,6056.72,84.19,0.99
31262,Zabalza,2020-01-01,0,32,1.00,3587.29,0.00,1.00
31263,Zubieta,2020-01-01,2,33,0.94,2158.24,84.32,0.96
31264,Zugarramurdi,2020-01-01,3,28,0.89,1969.77,107.68,0.95
31265,Zúñiga,2020-01-01,3,18,0.83,2174.85,87.49,0.96
31901,Barañáin/Barañain,2020-01-01,0,155,1.00,22106.62,0.00,1.00
31902,Berrioplano,2020-01-01,37,193,0.81,30816.47,4642.33,0.85
31903,Berriozar,2020-01-01,1,53,0.98,10126.65,54.26,0.99
31904,Irurtzun,2020-01-01,0,36,1.00,5901.52,0.00,1.00
31905,Beriáin,2020-01-01,15,95,0.84,13125.85,1201.10,0.91
31906,Orcoyen,2020-01-01,14,86,0.84,16304.06,2516.96,0.85
31907,Zizur Mayor/Zizur Nagusia,2020-01-01,18,270,0.93,36726.23,1896.57,0.95
31908,Lekunberri,2020-01-01,20,91,0.78,12767.49,1575.25,0.88
,Andia,2020-01-01,0,0,0,0.00,0.00,0
,Bardenas Reales de Navarra,2020-01-01,0,0,0,0.00,0.00,0
,Facería 104,2020-01-01,0,0,0,0.00,0.00,0
,Facería 18,2020-01-01,0,0,0,0.00,0.00,0
,Facería 21,2020-01-01,0,0,0,0.00,0.00,0
,Facería 22,2020-01-01,0,0,0,0.00,0.00,0
,Facería 24,2020-01-01,0,0,0,0.00,0.00,0
,Facería 26,2020-01-01,0,0,0,0.00,0.00,0
,Facería 28,2020-01-01,0,0,0,0.00,0.00,0
,Facería 29,2020-01-01,0,0,0,0.00,0.00,0
,Facería 30,2020-01-01,0,0,0,0.00,0.00,0
,Facería 31,2020-01-01,0,0,0,0.00,0.00,0
,Facería 37,2020-01-01,0,0,0,0.00,0.00,0
,Facería 39,2020-01-01,0,0,0,0.00,0.00,0
,Facería 40,2020-01-01,0,0,0,0.00,0.00,0
,Facería 43,2020-01-01,0,0,0,0.00,0.00,0
,Facería 45,2020-01-01,0,0,0,0.00,0.00,0
,Facería 49,2020-01-01,0,0,0,0.00,0.00,0
,Facería 55,2020-01-01,0,0,0,0.00,0.00,0
,Facería 62,2020-01-01,0,0,0,0.00,0.00,0
,Facería 79,2020-01-01,0,0,0,0.00,0.00,0
,Facería 81,2020-01-01,0,0,0,0.00,0.00,0
,Facería 82,2020-01-01,0,0,0,0.00,0.00,0
,Facería 83,2020-01-01,0,0,0,0.00,0.00,0
,Facería 85,2020-01-01,0,0,0,0.00,0.00,0
,Facería 87,2020-01-01,0,0,0,0.00,0.00,0
,Facería 88,2020-01-01,0,0,0,0.00,0.00,0
,Facería 9,2020-01-01,0,0,0,0.00,0.00,0
,Facería 91,2020-01-01,0,0,0,0.00,0.00,0
,Monte Común de las Améscoas/Ameskoa mendiak,2020-01-01,0,0,0,0.00,0.00,0
,Sierra de Aralar/Aralar mendia,2020-01-01,0,0,0,0.00,0.00,0
,Sierra de Lóquiz,2020-01-01,0,0,0,0.00,0.00,0
,Urbasa,2020-01-01,0,0,0,0.00,0.00,0
