id,ES-Z,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
50088,ES-Z,ES-AR,Cosuenda,2020-01-01,2,106,0.98,40.40,6512.59,0.99
50089,ES-Z,ES-AR,Cuarte de Huerva,2020-01-01,82,331,0.75,6473.53,58351.61,0.89
50090,ES-Z,ES-AR,Cubel,2020-01-01,22,22,0.00,3659.37,3659.37,0.00
50091,ES-Z,ES-AR,Las Cuerlas,2020-01-01,13,13,0.00,1416.70,1416.70,0.00
50092,ES-Z,ES-AR,Chiprana,2020-01-01,32,52,0.38,3984.49,6681.21,0.40
50093,ES-Z,ES-AR,Chodes,2020-01-01,9,10,0.10,1943.26,2055.12,0.05
50094,ES-Z,ES-AR,Daroca,2020-01-01,51,174,0.71,5059.17,15509.68,0.67
50095,ES-Z,ES-AR,Ejea de los Caballeros,2020-01-01,241,391,0.38,58047.95,87933.74,0.34
50096,ES-Z,ES-AR,Embid de Ariza,2020-01-01,2,2,0.00,211.27,211.27,0.00
50098,ES-Z,ES-AR,Encinacorba,2020-01-01,13,13,0.00,3017.28,3017.28,0.00
50099,ES-Z,ES-AR,Épila,2020-01-01,108,168,0.36,23003.39,35022.48,0.34
50100,ES-Z,ES-AR,Erla,2020-01-01,16,16,0.00,4008.31,4008.31,0.00
50101,ES-Z,ES-AR,Escatrón,2020-01-01,49,51,0.04,12966.38,13726.29,0.06
50102,ES-Z,ES-AR,Fabara,2020-01-01,36,36,0.00,7460.41,7460.41,0.00
50104,ES-Z,ES-AR,Farlete,2020-01-01,1,25,0.96,166.45,5611.90,0.97
50105,ES-Z,ES-AR,Fayón,2020-01-01,50,50,0.00,8774.34,8774.34,0.00
50106,ES-Z,ES-AR,Los Fayos,2020-01-01,11,11,0.00,2321.21,2321.21,0.00
50107,ES-Z,ES-AR,Figueruelas,2020-01-01,3,38,0.92,478.73,8181.36,0.94
50108,ES-Z,ES-AR,Fombuena,2020-01-01,8,8,0.00,2200.04,2200.04,0.00
50109,ES-Z,ES-AR,El Frago,2020-01-01,6,6,0.00,1615.22,1615.22,0.00
50110,ES-Z,ES-AR,El Frasno,2020-01-01,21,21,0.00,4667.34,4667.34,0.00
50111,ES-Z,ES-AR,Fréscano,2020-01-01,6,14,0.57,1034.12,2737.82,0.62
