id,ES-BU,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
09213,ES-BU,ES-CL,Merindad de Cuesta-Urria,2020-01-01,108,163,0.34,9506.12,15485.65,0.39
09214,ES-BU,ES-CL,Merindad de Montija,2020-01-01,12,269,0.96,699.87,30177.19,0.98
09215,ES-BU,ES-CL,Merindad de Sotoscueva,2020-01-01,76,203,0.63,7747.76,20689.03,0.63
09216,ES-BU,ES-CL,Merindad de Valdeporres,2020-01-01,126,185,0.32,10973.28,19763.24,0.44
09217,ES-BU,ES-CL,Merindad de Valdivielso,2020-01-01,135,167,0.19,14258.94,17508.66,0.19
09218,ES-BU,ES-CL,Milagros,2020-01-01,28,47,0.40,3729.52,7026.06,0.47
09219,ES-BU,ES-CL,Miranda de Ebro,2020-01-01,201,854,0.76,16896.85,113103.87,0.85
09220,ES-BU,ES-CL,Miraveche,2020-01-01,3,51,0.94,107.48,4614.58,0.98
09221,ES-BU,ES-CL,Modúbar de la Emparedada,2020-01-01,28,86,0.67,1936.76,8435.76,0.77
09223,ES-BU,ES-CL,Monasterio de la Sierra,2020-01-01,0,16,1.00,0.00,1059.52,1.00
09224,ES-BU,ES-CL,Monasterio de Rodilla,2020-01-01,20,63,0.68,606.41,3354.16,0.82
09225,ES-BU,ES-CL,Moncalvillo,2020-01-01,30,30,0.00,3046.01,3046.01,0.00
09226,ES-BU,ES-CL,Monterrubio de la Demanda,2020-01-01,20,37,0.46,1640.98,2825.84,0.42
09227,ES-BU,ES-CL,Montorio,2020-01-01,1,64,0.98,13.98,4720.66,1.00
09228,ES-BU,ES-CL,Moradillo de Roa,2020-01-01,8,47,0.83,247.74,3492.84,0.93
09229,ES-BU,ES-CL,Nava de Roa,2020-01-01,1,37,0.97,107.12,3445.87,0.97
09230,ES-BU,ES-CL,Navas de Bureba,2020-01-01,8,18,0.56,629.85,2106.04,0.70
09231,ES-BU,ES-CL,Nebreda,2020-01-01,20,20,0.00,2666.74,2666.74,0.00
09232,ES-BU,ES-CL,Neila,2020-01-01,35,36,0.03,3242.25,3512.88,0.08
09235,ES-BU,ES-CL,Olmedillo de Roa,2020-01-01,40,40,0.00,4639.25,4639.25,0.00
09236,ES-BU,ES-CL,Olmillos de Muñó,2020-01-01,20,22,0.09,1174.44,1473.98,0.20
09238,ES-BU,ES-CL,Oña,2020-01-01,102,169,0.40,7930.35,14389.98,0.45
09239,ES-BU,ES-CL,Oquillas,2020-01-01,21,21,0.00,1278.97,1278.97,0.00
