id,ES-AV,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
05215,ES-AV,ES-CL,San Martín de la Vega del Alberche,2020-01-01,24,32,0.25,3821.38,5087.78,0.25
05216,ES-AV,ES-CL,San Martín del Pimpollar,2020-01-01,13,42,0.69,1291.76,4970.99,0.74
05217,ES-AV,ES-CL,San Miguel de Corneja,2020-01-01,0,21,1.00,0.00,2197.26,1.00
05218,ES-AV,ES-CL,San Miguel de Serrezuela,2020-01-01,0,36,1.00,0.00,5153.96,1.00
05219,ES-AV,ES-CL,San Pascual,2020-01-01,0,20,1.00,0.00,2537.25,1.00
05220,ES-AV,ES-CL,San Pedro del Arroyo,2020-01-01,2,64,0.97,325.69,10043.10,0.97
05221,ES-AV,ES-CL,Santa Cruz del Valle,2020-01-01,34,36,0.06,3408.24,3732.61,0.09
05222,ES-AV,ES-CL,Santa Cruz de Pinares,2020-01-01,26,47,0.45,2572.77,5729.36,0.55
05224,ES-AV,ES-CL,Santa María del Arroyo,2020-01-01,9,35,0.74,446.98,3508.83,0.87
05225,ES-AV,ES-CL,Santa María del Berrocal,2020-01-01,60,62,0.03,6044.08,6207.29,0.03
05226,ES-AV,ES-CL,Santa María de los Caballeros,2020-01-01,20,20,0.00,1417.24,1417.24,0.00
05227,ES-AV,ES-CL,Santa María del Tiétar,2020-01-01,62,85,0.27,9118.16,12644.16,0.28
05228,ES-AV,ES-CL,Santiago del Collado,2020-01-01,15,15,0.00,1737.09,1737.09,0.00
05229,ES-AV,ES-CL,Santo Domingo de las Posadas,2020-01-01,6,23,0.74,538.12,2394.30,0.78
05230,ES-AV,ES-CL,Santo Tomé de Zabarcos,2020-01-01,0,24,1.00,0.00,2952.38,1.00
05231,ES-AV,ES-CL,San Vicente de Arévalo,2020-01-01,0,34,1.00,0.00,4632.92,1.00
05232,ES-AV,ES-CL,La Serrada,2020-01-01,1,30,0.97,46.53,3131.89,0.99
05233,ES-AV,ES-CL,Serranillos,2020-01-01,19,34,0.44,1988.16,3877.60,0.49
05234,ES-AV,ES-CL,Sigeres,2020-01-01,0,23,1.00,0.00,2087.34,1.00
05235,ES-AV,ES-CL,Sinlabajos,2020-01-01,0,15,1.00,0.00,3156.66,1.00
05236,ES-AV,ES-CL,Solana de Ávila,2020-01-01,30,32,0.06,2562.06,2771.37,0.08
05237,ES-AV,ES-CL,Solana de Rioalmar,2020-01-01,0,56,1.00,0.00,7051.45,1.00
05238,ES-AV,ES-CL,Solosancho,2020-01-01,50,226,0.78,3170.91,21548.75,0.85
05239,ES-AV,ES-CL,Sotalbo,2020-01-01,29,35,0.17,4236.98,5182.54,0.18
